たいした	大した	Great	vocabulary	adjective
やっつ	八つ	Eight Things	vocabulary	numeral
さげる	下げる	To Lower	vocabulary	transitive verb, ichidan verb
おおきさ	大きさ	Size	vocabulary	noun
おとな	大人	Adult	vocabulary	noun, な adjective, の adjective
かわ	川	River	vocabulary	noun
じんこう	人工	Artificial	vocabulary	noun, の adjective
ひとり	一人	Alone	vocabulary	noun
ちから	力	Power	vocabulary	noun
あげる	上げる	To Raise	vocabulary	transitive verb, ichidan verb
のぼる	上る	To Climb	vocabulary	intransitive verb, godan verb
ください	下さい	Please Give Me	vocabulary	expression
おんな	女	Woman	vocabulary	noun
じんこう	人口	Population	vocabulary	noun
いち	一	One	vocabulary	numeral
ひとつ	一つ	One Thing	vocabulary	numeral
なな	七	Seven	vocabulary	numeral
ななつ	七つ	Seven Things	vocabulary	numeral
きゅう	九	Nine	vocabulary	numeral
ここのつ	九つ	Nine Things	vocabulary	numeral
に	二	Two	vocabulary	numeral
ふたつ	二つ	Two Things	vocabulary	numeral
ひと	人	Person	vocabulary	noun
ふたり	二人	Two People	vocabulary	noun
はいる	入る	To Enter	vocabulary	intransitive verb, godan verb
いれる	入れる	To Insert	vocabulary	transitive verb, ichidan verb
はち	八	Eight	vocabulary	numeral
じゅう	十	Ten	vocabulary	numeral
さん	三	Three	vocabulary	numeral
みっつ	三つ	Three Things	vocabulary	numeral
さんにん	三人	Three People	vocabulary	noun
うえ	上	Up	vocabulary	noun, suffix
あがる	上がる	To Rise	vocabulary	intransitive verb, godan verb
した	下	Down	vocabulary	noun
さがる	下がる	To Get Lower	vocabulary	intransitive verb, godan verb
くち	口	Mouth	vocabulary	noun
いりぐち	入り口	Entrance	vocabulary	noun
おおきい	大きい	Big	vocabulary	い adjective
やま	山	Mountain	vocabulary	noun
ふじさん	ふじ山	Mt Fuji	vocabulary	proper noun
つち	土	Soil	vocabulary	noun
ちいさい	小さい	Small	vocabulary	い adjective
さい	〜才	Years Old	vocabulary	suffix
むっつ	六つ	Six Things	vocabulary	numeral
てんさい	天才	Genius	vocabulary	noun
ぶん	文	Writing	vocabulary	noun
みず	水	Water	vocabulary	noun
おうじょ	王女	Princess	vocabulary	noun, suffix
でる	出る	To Exit	vocabulary	intransitive verb, ichidan verb
しがつ	四月	April	vocabulary	noun
ただす	正す	To Correct	vocabulary	transitive verb, godan verb
たまねぎ	玉ねぎ	Onion	vocabulary	noun
た	田	Rice Field	vocabulary	noun
はくじん	白人	Caucasian	vocabulary	noun, の adjective
たてる	立てる	To Stand Something Up	vocabulary	transitive verb, ichidan verb
すいちゅう	水中	Underwater	vocabulary	noun, の adjective
いっせん	一千	One Thousand	vocabulary	numeral
ゆうべ	夕べ	Evening	vocabulary	noun
じょし	女子	Girl	vocabulary	noun
また	又	Again	vocabulary	adverb, prefix
なかなか	中々	Very	vocabulary	adverb
いつか	五日	Fifth Day	vocabulary	noun
てん	天	Heaven	vocabulary	noun
へた	下手	Unskillful	vocabulary	noun, な adjective
ひ	日	Sun	vocabulary	noun
ひ	火	Fire	vocabulary	noun
かざん	火山	Volcano	vocabulary	noun
おうじ	王子	Prince	vocabulary	noun, suffix
じょおう	女王	Queen	vocabulary	noun, suffix
ほん	本	Book	vocabulary	noun
ただしい	正しい	Correct	vocabulary	い adjective
ひとびと	人々	People	vocabulary	noun, の adjective
ようか	八日	Eighth Day	vocabulary	noun
とおか	十日	Tenth Day	vocabulary	noun
かたな	刀	Sword	vocabulary	noun
せん	千	Thousand	vocabulary	numeral
おんなのこ	女の子	Girl	vocabulary	noun
こ	子	Kid	vocabulary	noun, suffix
まる	丸	Circle	vocabulary	noun
まるい	丸い	Circular	vocabulary	い adjective
なか	中	Inside	vocabulary	noun
ごがつ	五月	May	vocabulary	noun
ごじゅう	五十	Fifty	vocabulary	numeral
いつつ	五つ	Five Things	vocabulary	numeral
ご	五	Five	vocabulary	numeral
ろくがつ	六月	June	vocabulary	noun
むいか	六日	Sixth Day	vocabulary	noun
じゅうろく	十六	Sixteen	vocabulary	numeral
ろく	六	Six	vocabulary	numeral
えん	〜円	Money	vocabulary	noun, suffix
せんえん	千円	One Thousand Yen	vocabulary	noun
まるい	円い	Round	vocabulary	い adjective
て	手	Hand	vocabulary	noun
じょうず	上手	Good At	vocabulary	noun, な adjective
つき	月	Moon	vocabulary	noun
じゅうがつ	十月	October	vocabulary	noun
いちがつ	一月	January	vocabulary	noun
にがつ	二月	February	vocabulary	noun
き	木	Tree	vocabulary	noun
いぬ	犬	Dog	vocabulary	noun
こいぬ	子犬	Puppy	vocabulary	noun
おう	王	King	vocabulary	noun, suffix
だす	出す	To Take Out	vocabulary	transitive verb, godan verb
でぐち	出口	Exit	vocabulary	noun
みぎ	右	Right Direction	vocabulary	noun
よん	四	Four	vocabulary	numeral
ひだり	左	Left Direction	vocabulary	noun, の adjective
にほん	日本	Japan	vocabulary	proper noun
たま	玉	Ball	vocabulary	noun
しろ	白	White	vocabulary	noun
め	目	Eye	vocabulary	noun
めだま	目玉	Eyeball	vocabulary	noun
たつ	立つ	To Stand	vocabulary	intransitive verb, godan verb
ふつか	二日	Second Day	vocabulary	noun
いちにち	一日	One Day	vocabulary	noun
なのか	七日	Seventh Day	vocabulary	noun
みっか	三日	Third Day	vocabulary	noun
ここのか	九日	Ninth Day	vocabulary	noun
さゆう	左右	Left And Right	vocabulary	noun, する verb
にゅうりょく	入力	Input	vocabulary	noun, する verb
うむ	生む	To Give Birth	vocabulary	transitive verb, godan verb
なま	生	Fresh	vocabulary	noun, prefix, の adjective
ちゅうし	中止	Suspension	vocabulary	noun, する verb
ふるい	古い	Old	vocabulary	い adjective
びーだま	ビー玉	Marble	vocabulary	noun
ふとい	太い	Fat	vocabulary	い adjective
け	毛	Fur	vocabulary	noun
じんせい	人生	One's Life	vocabulary	noun
よう	用	Task	vocabulary	noun, suffix
いきる	生きる	To Live	vocabulary	intransitive verb, ichidan verb
じゅうまん	十万	One Hundred Thousand	vocabulary	numeral
もと	元	Origin	vocabulary	noun, prefix
はんぶん	半分	Half	vocabulary	noun
わける	分ける	To Separate	vocabulary	transitive verb, ichidan verb
きれる	切れる	To Be Cut	vocabulary	intransitive verb, ichidan verb
たいせつ	大切	Important	vocabulary	noun, な adjective
きる	切る	To Cut	vocabulary	transitive verb, godan verb
すくない	少ない	A Few	vocabulary	い adjective
とめる	止める	To Stop Something	vocabulary	transitive verb, ichidan verb
おとうさん	お父さん	Father	vocabulary	noun
じゅうだい	十台	Ten Machines	vocabulary	noun
はずれ	外れ	Extremity	vocabulary	noun, suffix
はずれる	外れる	To Be Disconnected	vocabulary	intransitive verb, ichidan verb
もちいる	用いる	To Utilize	vocabulary	transitive verb, ichidan verb
こうよう	公用	Government Business	vocabulary	noun
や	矢	Arrow	vocabulary	noun
いぎりすじん	イギリス人	British Person	vocabulary	noun
にん	〜人	Number Of People	vocabulary	counter
しょうじょ	少女	Girl	vocabulary	noun
おとなしい	大人しい	Obedient	vocabulary	い adjective
と	戸	Japanese Style Door	vocabulary	noun
あめりかじん	アメリカ人	American	vocabulary	noun
ふらんすじん	フランス人	Frenchman	vocabulary	noun
うまれる	生まれる	To Be Born	vocabulary	intransitive verb, ichidan verb
いちまん	一万	Ten Thousand	vocabulary	numeral
にまん	二万	Twenty Thousand	vocabulary	numeral
いま	今	Now	vocabulary	noun
きょう	今日	Today	vocabulary	noun
こんげつ	今月	This Month	vocabulary	noun
わかる	分かる	To Understand	vocabulary	intransitive verb, godan verb
ふん	分	Minute	vocabulary	noun, prefix, suffix
ゆうじん	友人	Friend	vocabulary	noun
ふとる	太る	To Get Fat	vocabulary	intransitive verb, godan verb
すこし	少し	A Little	vocabulary	adverb, noun
ひく	引く	To Pull	vocabulary	intransitive verb, transitive verb, godan verb
こころ	心	Heart	vocabulary	noun
とぐち	戸口	Doorway	vocabulary	noun
かた	方	Way	vocabulary	noun
とまる	止まる	To Stop	vocabulary	intransitive verb, godan verb
ちち	父	Father	vocabulary	noun
うし	牛	Cow	vocabulary	noun
ふゆ	冬	Winter	vocabulary	noun
きた	北	North	vocabulary	noun
はん	半	Half	vocabulary	noun, prefix
ちゅうこ	中古	Secondhand	vocabulary	noun, の adjective
いちだい	一台	One Machine	vocabulary	noun
にだい	二台	Two Machines	vocabulary	noun
ごだい	五台	Five Machines	vocabulary	noun
そと	外	Outside	vocabulary	noun
がいじん	外人	Foreigner	vocabulary	noun
し	市	City	vocabulary	noun, suffix
しりつ	市立	Municipal	vocabulary	noun, の adjective
しあとるし	シアトル市	Seattle	vocabulary	proper noun
ひろい	広い	Wide	vocabulary	い adjective
はは	母	Mother	vocabulary	noun
おかあさん	お母さん	Mother	vocabulary	noun
うち	内	Inside	vocabulary	noun, の adjective
だい	〜台	Big Machine	vocabulary	counter, suffix
まん	万	Ten Thousand	vocabulary	numeral
おんなのひと	女の人	Woman	vocabulary	noun
みぎて	右手	Right Hand	vocabulary	noun
まず	先ず	First Of All	vocabulary	adverb
ねんない	年内	Within A Year	vocabulary	noun
たりる	足りる	To Be Enough	vocabulary	intransitive verb, ichidan verb
いちだい	一代	Lifetime	vocabulary	noun
せんせい	先生	Teacher	vocabulary	noun
ねんじゅう	年中	Year Round	vocabulary	adverb, noun
そうそう	早々	As Soon As	vocabulary	noun, suffix
みかた	見方	Way Of Seeing	vocabulary	noun
ほか	他	Other	vocabulary	noun, の adjective
だいよう	代用	Substitution	vocabulary	noun, する verb, の adjective
