さげる	下げる	To Lower	vocabulary
あげる	上げる	To Raise	vocabulary
のぼる	上る	To Climb	vocabulary
はいる	入る	To Enter	vocabulary
いれる	入れる	To Insert	vocabulary
あがる	上がる	To Rise	vocabulary
さがる	下がる	To Get Lower	vocabulary
でる	出る	To Exit	vocabulary
ただす	正す	To Correct	vocabulary
たてる	立てる	To Stand Something Up	vocabulary
だす	出す	To Take Out	vocabulary
たつ	立つ	To Stand	vocabulary
うむ	生む	To Give Birth	vocabulary
いきる	生きる	To Live	vocabulary
わける	分ける	To Separate	vocabulary
きれる	切れる	To Be Cut	vocabulary
きる	切る	To Cut	vocabulary
とめる	止める	To Stop Something	vocabulary
はずれる	外れる	To Be Disconnected	vocabulary
もちいる	用いる	To Utilize	vocabulary
うまれる	生まれる	To Be Born	vocabulary
わかる	分かる	To Understand	vocabulary
ふとる	太る	To Get Fat	vocabulary
ひく	引く	To Pull	vocabulary
とまる	止まる	To Stop	vocabulary
たりる	足りる	To Be Enough	vocabulary
うつる	写る	To Be Photographed	vocabulary
みせる	見せる	To Show	vocabulary
かわる	代わる	To Replace	vocabulary
やすむ	休む	To Rest	vocabulary
きにいる	気に入る	To Be Pleased With	vocabulary
みる	見る	To See	vocabulary
みえる	見える	To Be Seen	vocabulary
みわける	見分ける	To Distinguish	vocabulary
うつす	写す	To Copy	vocabulary
うつ	打つ	To Hit	vocabulary
もうす	申す	To Say Humbly	vocabulary
でかける	出かける	To Go Out	vocabulary
まぜる	交ぜる	To Mix	vocabulary
かんがえる	考える	To Think About	vocabulary
あう	会う	To Meet	vocabulary
まわる	回る	To Revolve	vocabulary
あたる	当たる	To Be Right	vocabulary
いく	行く	To Go	vocabulary
おこなう	行う	To Carry Out	vocabulary
まなぶ	学ぶ	To Learn	vocabulary
つくる	作る	To Make	vocabulary
いう	言う	To Say	vocabulary
はしる	走る	To Run	vocabulary
ひろがる	広がる	To Spread Out	vocabulary
はえる	生える	To Grow	vocabulary
なくなる	亡くなる	To Pass Away	vocabulary
むく	向く	To Face	vocabulary
ある	有る	To Have	vocabulary
しぬ	死ぬ	To Die	vocabulary
あるく	歩く	To Walk	vocabulary
なおす	直す	To Fix	vocabulary
なおる	直る	To Be Fixed	vocabulary
おもう	思う	To Think	vocabulary
たべる	食べる	To Eat	vocabulary
くびになる	首になる	To Get Fired	vocabulary
できる	出来る	To Be Able To Do	vocabulary
